AREA_NM,AREA_CONGEST_LVL,AREA_PPLTN_MIN,AREA_PPLTN_MAX,MALE_PPLTN_RATE,FEMALE_PPLTN_RATE,PPLTN_RATE_0,PPLTN_RATE_10,PPLTN_RATE_20,PPLTN_RATE_30,PPLTN_RATE_40,PPLTN_RATE_50,PPLTN_RATE_60,PPLTN_RATE_70,RESNT_PPLTN_RATE,NON_RESNT_PPLTN_RATE,PPLTN_TIME,WEATHER_TIME,TEMP,SENSIBLE_TEMP,HUMIDITY,WIND_SPD,PRECIPITATION,PRECPT_TYPE,UV_INDEX_LVL,PM25_INDEX,PM10_INDEX,AIR_IDX,FCST_DT,SKY_STTS,ROAD_TRAFFIC_SPD,ROAD_TRFFIC_TIME
구로디지털단지역,여유,6500,7000,56.3,43.7,0.4,2.0,24.5,27.3,19.9,12.5,8.4,5.0,42.6,57.4,2023-05-16 00:15,2023-05-16 00:51,19.6,20.1,60,2.2,-,없음,0,보통,보통,보통,202305170000,맑음,26,2023-05-16 00:45
서울역,여유,1500,2000,59.6,40.4,0.0,3.1,17.0,20.6,23.9,18.0,11.4,6.0,26.6,73.4,2023-05-16 00:15,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,26,2023-05-16 00:45
선릉역,여유,14000,16000,55.1,44.9,0.2,6.7,18.8,26.9,22.9,14.2,6.6,3.8,36.7,63.3,2023-05-16 00:15,2023-05-16 00:51,17.9,18.9,67,1,-,없음,0,보통,보통,보통,202305170000,맑음,22,2023-05-16 00:45
신도림역,여유,1000,1500,53.2,46.8,0.2,5.6,25.5,22.3,22.8,11.0,8.6,4.0,44.1,55.9,2023-05-16 00:15,2023-05-16 00:51,18.6,18.9,57,1.2,-,없음,0,보통,보통,보통,202305170000,맑음,32,2023-05-16 00:45
신림역,여유,9500,10000,56.9,43.1,0.1,3.4,46.6,24.8,11.2,7.2,4.3,2.5,39.9,60.1,2023-05-16 00:15,2023-05-16 00:51,18.6,18.9,57,1.2,-,없음,0,보통,보통,보통,202305170000,맑음,22,2023-05-16 00:45
신촌·이대역,여유,14000,16000,44.9,55.1,0.0,7.4,59.7,14.8,7.6,5.2,3.3,2.0,42.6,57.4,2023-05-16 00:15,2023-05-16 00:51,20.4,20.7,57,2.1,-,없음,0,보통,좋음,보통,202305170000,맑음,22,2023-05-16 00:45
역삼역,여유,8500,9000,57.1,42.9,0.1,2.3,25.2,28.7,21.6,12.3,6.6,3.1,35.9,64.1,2023-05-16 00:15,2023-05-16 00:51,17.9,18.9,67,1,-,없음,0,보통,보통,보통,202305170000,맑음,21,2023-05-16 00:45
연신내역,여유,3500,4000,51.3,48.7,0.2,3.4,30.2,21.3,12.6,14.9,9.9,7.5,46.8,53.2,2023-05-16 00:15,2023-05-16 00:51,14.1,16.3,86,0.1,-,없음,0,보통,보통,보통,202305170000,맑음,20,2023-05-16 00:45
용산역,여유,3000,3500,50.8,49.2,0.1,4.1,18.8,25.9,18.0,17.0,10.0,6.1,43.7,56.3,2023-05-16 00:15,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,31,2023-05-16 00:45
왕십리역,여유,6500,7000,49.7,50.3,0.1,9.6,46.0,14.9,8.9,8.6,6.7,5.3,52.4,47.6,2023-05-16 00:15,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,23,2023-05-16 00:45
DMC(디지털미디어시티),여유,7000,7500,49.8,50.2,0.5,5.7,23.5,24.9,21.8,12.5,7.5,3.6,45.9,54.1,2023-05-16 00:15,2023-05-16 00:51,19,19.5,60,1,-,없음,0,보통,보통,보통,202305170000,맑음,27,2023-05-16 00:45
창동 신경제 중심지,여유,16000,18000,50.1,49.9,0.5,8.2,21.9,16.6,16.7,17.3,11.5,7.2,53.4,46.6,2023-05-16 00:15,2023-05-16 00:51,19.4,20.3,65,1.1,-,없음,0,보통,좋음,보통,202305170000,맑음,23,2023-05-16 00:45
노량진,여유,7000,7500,58.2,41.8,0.1,5.0,43.4,19.5,10.8,11.1,6.0,4.1,47.6,52.4,2023-05-16 00:15,2023-05-16 00:51,18.6,18.9,57,1.2,-,없음,0,보통,보통,보통,202305170000,맑음,44,2023-05-16 00:45
낙산공원·이화마을,여유,300,400,48.0,52.0,0.2,6.4,21.5,13.5,13.6,18.9,14.0,12.1,72.8,27.2,2023-05-16 00:15,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,20,2023-05-16 00:45
북촌한옥마을,여유,500,600,44.2,55.8,0.2,5.9,10.2,13.3,23.0,19.5,13.7,14.2,77.6,22.4,2023-05-16 00:15,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,20,2023-05-16 00:45
가로수길,여유,9000,9500,52.0,48.0,0.3,5.2,21.6,23.9,21.0,13.4,7.3,7.3,39.8,60.2,2023-05-16 00:15,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,29,2023-05-16 00:45
성수카페거리,여유,2000,2500,56.9,43.1,0.4,5.9,25.9,26.5,14.0,12.6,10.4,4.2,31.4,68.6,2023-05-16 00:15,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,20,2023-05-16 00:45
수유리 먹자골목,여유,8500,9000,51.0,49.0,0.1,5.5,30.2,15.8,14.5,15.3,10.7,7.8,50.6,49.4,2023-05-16 00:15,2023-05-16 00:51,18.9,19.6,62,0.6,-,없음,0,보통,보통,보통,202305170000,맑음,19,2023-05-16 00:45
쌍문동 맛집거리,여유,2000,2500,48.0,52.0,0.1,5.1,21.7,17.7,14.6,17.4,13.8,9.7,63.2,36.8,2023-05-16 00:15,2023-05-16 00:51,18.9,19.6,62,0.6,-,없음,0,보통,좋음,보통,202305170000,맑음,20,2023-05-16 00:45
압구정로데오거리,여유,6000,6500,54.6,45.4,0.1,4.5,22.7,26.3,20.3,13.7,7.2,5.2,30.8,69.2,2023-05-16 00:15,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,21,2023-05-16 00:45
여의도,여유,22000,24000,53.2,46.8,0.4,5.4,15.1,22.6,21.3,15.9,10.7,8.7,44.7,55.3,2023-05-16 00:15,2023-05-16 00:51,20.4,20.7,57,2.1,-,없음,0,보통,보통,보통,202305170000,맑음,32,2023-05-16 00:45
영등포 타임스퀘어,여유,4000,4500,57.4,42.6,0.1,2.8,34.7,24.4,14.5,12.2,7.2,4.1,32.4,67.6,2023-05-16 00:15,2023-05-16 00:51,20.4,20.7,57,2.1,-,없음,0,보통,보통,보통,202305170000,맑음,25,2023-05-16 00:45
인사동·익선동,여유,5500,6000,62.0,38.0,0.1,4.9,26.1,22.2,15.9,14.5,9.1,7.2,30.1,69.9,2023-05-16 00:15,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,21,2023-05-16 00:45
국립중앙박물관·용산가족공원,여유,300,400,51.6,48.4,0.7,10.0,13.4,19.3,21.5,20.0,11.1,4.0,46.4,53.6,2023-05-16 00:15,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,26,2023-05-16 00:45
남산공원,여유,6500,7000,49.9,50.1,0.4,7.5,20.8,19.5,19.5,16.1,10.2,6.0,51.4,48.6,2023-05-16 00:15,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,29,2023-05-16 00:45
뚝섬한강공원,여유,1500,2000,48.1,51.9,0.6,7.0,19.8,19.2,16.5,16.5,12.3,8.1,50.2,49.8,2023-05-16 00:15,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,41,2023-05-16 00:45
망원한강공원,여유,1000,1500,52.6,47.4,0.1,5.2,21.3,21.7,18.9,13.7,10.7,8.4,52.8,47.2,2023-05-16 00:15,2023-05-16 00:51,20.4,20.7,57,2.1,-,없음,0,보통,보통,보통,202305170000,맑음,37,2023-05-16 00:45
반포한강공원,여유,1500,2000,59.0,41.0,0.2,8.8,29.0,17.8,20.9,12.7,6.1,4.4,10.6,89.4,2023-05-16 00:15,2023-05-16 00:51,19.2,20.2,67,0.8,-,없음,0,보통,보통,보통,202305170000,맑음,39,2023-05-16 00:45
북서울꿈의숲,여유,3500,4000,46.6,53.4,0.4,5.6,13.2,17.3,16.8,20.5,14.7,11.5,73.8,26.2,2023-05-16 00:15,2023-05-16 00:51,18.9,19.6,62,0.6,-,없음,0,보통,보통,보통,202305170000,맑음,24,2023-05-16 00:45
서울대공원,여유,700,800,47.4,52.6,0.5,11.1,13.1,14.4,22.0,18.4,13.5,6.9,65.5,34.5,2023-05-16 00:15,2023-05-16 00:51,17.9,18.9,67,1,-,없음,0,보통,보통,보통,202305170000,맑음,33,2023-05-16 00:45
서울숲공원,여유,4000,4500,55.5,44.5,0.1,3.8,19.3,20.1,20.6,19.2,11.5,5.4,27.2,72.8,2023-05-16 00:15,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,42,2023-05-16 00:45
월드컵공원,여유,2000,2500,54.9,45.1,0.4,5.6,15.2,18.3,22.8,15.4,11.4,10.9,38.0,62.0,2023-05-16 00:15,2023-05-16 00:51,19,19.5,60,1,-,없음,0,보통,보통,보통,202305170000,맑음,35,2023-05-16 00:45
이촌한강공원,여유,1500,2000,51.3,48.7,0.7,6.6,14.7,17.2,18.8,17.8,13.3,11.0,40.5,59.5,2023-05-16 00:15,2023-05-16 00:51,20.4,20.7,57,2.1,-,없음,0,보통,보통,보통,202305170000,맑음,32,2023-05-16 00:45
잠실종합운동장,여유,700,800,58.2,41.8,1.0,8.9,9.6,15.0,24.8,21.6,14.6,4.4,29.3,70.7,2023-05-16 00:15,2023-05-16 00:51,20.1,20.5,58,0.9,-,없음,0,보통,보통,보통,202305170000,맑음,34,2023-05-16 00:45
잠실한강공원,여유,2500,3000,50.1,49.9,1.2,9.2,13.5,14.7,27.7,17.7,10.2,5.9,28.8,71.2,2023-05-16 00:15,2023-05-16 00:51,19.8,20,55,1,-,없음,0,보통,보통,보통,202305170000,맑음,49,2023-05-16 00:45
강남 MICE 관광특구,여유,1000,1500,72.1,27.9,0.0,2.3,18.2,24.4,24.4,16.2,11.6,2.8,13.4,86.6,2023-05-16 00:20,2023-05-16 00:51,17.9,18.9,67,1,-,없음,0,보통,보통,보통,202305170000,맑음,21,2023-05-16 00:50
동대문 관광특구,보통,20000,22000,49.7,50.3,0.1,1.8,20.7,29.5,20.8,14.8,9.2,3.1,32.5,67.5,2023-05-16 00:20,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,22,2023-05-16 00:50
명동 관광특구,여유,5500,6000,63.2,36.8,0.1,4.3,20.3,25.2,22.8,15.1,9.0,3.2,20.5,79.5,2023-05-16 00:20,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,20,2023-05-16 00:50
이태원 관광특구,여유,3500,4000,55.0,45.0,0.3,2.6,27.1,28.4,16.1,11.0,7.4,7.1,42.5,57.5,2023-05-16 00:20,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,27,2023-05-16 00:50
잠실 관광특구,여유,16000,18000,51.1,48.9,0.4,5.5,23.5,23.9,18.4,13.0,9.7,5.7,38.5,61.5,2023-05-16 00:20,2023-05-16 00:51,19.8,20,55,1,-,없음,0,보통,보통,보통,202305170000,맑음,29,2023-05-16 00:50
종로·청계 관광특구,여유,6500,7000,55.4,44.6,0.0,2.6,22.1,21.8,20.8,17.2,10.4,5.1,35.8,64.2,2023-05-16 00:20,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,20,2023-05-16 00:50
홍대 관광특구,여유,22000,24000,50.9,49.1,0.2,7.5,41.0,21.4,12.6,8.0,5.2,4.0,37.5,62.5,2023-05-16 00:20,2023-05-16 00:51,20.4,20.7,57,2.1,-,없음,0,보통,보통,보통,202305170000,맑음,20,2023-05-16 00:50
경복궁·서촌마을,여유,4500,5000,49.7,50.3,0.5,7.8,13.5,18.0,20.6,17.0,11.5,11.1,67.9,32.1,2023-05-16 00:20,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,23,2023-05-16 00:50
광화문·덕수궁,여유,3500,4000,56.6,43.4,0.0,2.1,17.3,25.6,22.8,16.5,9.6,6.0,34.8,65.2,2023-05-16 00:20,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,22,2023-05-16 00:50
창덕궁·종묘,여유,3500,4000,52.0,48.0,0.1,7.5,29.1,15.9,15.1,15.7,9.3,7.3,50.5,49.5,2023-05-16 00:20,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,21,2023-05-16 00:50
가산디지털단지역,여유,6000,6500,61.1,38.9,0.2,2.1,22.2,23.1,21.9,16.9,9.5,4.1,46.4,53.6,2023-05-16 00:20,2023-05-16 00:51,19.6,20.1,60,2.2,-,없음,0,보통,보통,보통,202305170000,맑음,30,2023-05-16 00:50
강남역,여유,16000,18000,57.1,42.9,0.1,6.5,30.9,27.6,18.2,9.1,4.9,2.7,28.4,71.6,2023-05-16 00:20,2023-05-16 00:51,17.9,18.9,67,1,-,없음,0,보통,보통,보통,202305170000,맑음,22,2023-05-16 00:50
건대입구역,여유,10000,12000,50.5,49.5,0.2,10.3,42.1,17.0,9.4,9.3,6.2,5.5,40.4,59.6,2023-05-16 00:20,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,26,2023-05-16 00:50
고속터미널역,여유,2000,2500,54.4,45.6,0.4,7.0,15.2,17.3,22.0,16.6,13.3,8.3,30.7,69.3,2023-05-16 00:20,2023-05-16 00:51,19.2,20.2,67,0.8,-,없음,0,보통,보통,보통,202305170000,맑음,34,2023-05-16 00:50
교대역,여유,2500,3000,58.6,41.4,0.0,5.4,19.1,26.5,23.4,13.7,7.7,4.2,39.2,60.8,2023-05-16 00:20,2023-05-16 00:51,17.9,18.9,67,1,-,없음,0,보통,보통,보통,202305170000,맑음,23,2023-05-16 00:50
구로디지털단지역,여유,6000,6500,57.3,42.7,0.3,1.6,24.2,27.7,20.1,12.3,8.7,5.1,43.2,56.8,2023-05-16 00:20,2023-05-16 00:51,19.6,20.1,60,2.2,-,없음,0,보통,보통,보통,202305170000,맑음,26,2023-05-16 00:50
서울역,여유,1500,2000,58.8,41.2,0.0,2.5,16.1,23.7,23.9,17.2,10.6,5.9,28.1,71.9,2023-05-16 00:20,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,27,2023-05-16 00:50
선릉역,여유,14000,16000,55.7,44.3,0.2,6.1,19.2,27.3,23.4,13.2,6.9,3.7,37.2,62.8,2023-05-16 00:20,2023-05-16 00:51,17.9,18.9,67,1,-,없음,0,보통,보통,보통,202305170000,맑음,22,2023-05-16 00:50
신도림역,여유,1000,1500,53.3,46.7,0.1,8.8,19.6,20.5,22.9,12.9,9.9,5.4,55.6,44.4,2023-05-16 00:20,2023-05-16 00:51,18.6,18.9,57,1.2,-,없음,0,보통,보통,보통,202305170000,맑음,32,2023-05-16 00:50
신림역,여유,9500,10000,56.8,43.2,0.0,3.5,45.2,25.5,11.9,7.1,4.5,2.3,39.4,60.6,2023-05-16 00:20,2023-05-16 00:51,18.6,18.9,57,1.2,-,없음,0,보통,보통,보통,202305170000,맑음,21,2023-05-16 00:50
신촌·이대역,여유,12000,14000,44.4,55.6,0.0,7.1,59.9,14.8,7.4,5.6,3.1,2.1,43.7,56.3,2023-05-16 00:20,2023-05-16 00:51,20.4,20.7,57,2.1,-,없음,0,보통,좋음,보통,202305170000,맑음,22,2023-05-16 00:50
역삼역,여유,8000,8500,57.7,42.3,0.3,2.8,25.1,28.1,20.9,12.7,6.7,3.5,37.3,62.7,2023-05-16 00:20,2023-05-16 00:51,17.9,18.9,67,1,-,없음,0,보통,보통,보통,202305170000,맑음,20,2023-05-16 00:50
연신내역,여유,3500,4000,50.3,49.7,0.3,5.1,28.9,21.3,12.8,14.7,9.2,7.7,47.6,52.4,2023-05-16 00:20,2023-05-16 00:51,14.1,16.3,86,0.1,-,없음,0,보통,보통,보통,202305170000,맑음,22,2023-05-16 00:50
용산역,여유,3000,3500,52.8,47.2,0.4,3.5,18.9,23.7,18.6,18.3,10.3,6.3,42.8,57.2,2023-05-16 00:20,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,31,2023-05-16 00:50
왕십리역,여유,6000,6500,48.7,51.3,0.1,9.2,45.0,16.1,8.6,8.8,6.8,5.4,55.2,44.8,2023-05-16 00:20,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,23,2023-05-16 00:50
DMC(디지털미디어시티),여유,6500,7000,51.2,48.8,0.5,6.2,22.1,24.4,21.7,13.7,7.8,3.7,47.1,52.9,2023-05-16 00:20,2023-05-16 00:51,19,19.5,60,1,-,없음,0,보통,보통,보통,202305170000,맑음,27,2023-05-16 00:50
창동 신경제 중심지,여유,16000,18000,49.8,50.2,0.5,8.0,21.8,16.3,16.4,17.9,11.6,7.4,53.8,46.2,2023-05-16 00:20,2023-05-16 00:51,19.4,20.3,65,1.1,-,없음,0,보통,좋음,보통,202305170000,맑음,23,2023-05-16 00:50
노량진,여유,7000,7500,59.1,40.9,0.0,4.9,42.2,20.6,11.1,10.3,6.4,4.5,48.6,51.4,2023-05-16 00:20,2023-05-16 00:51,18.6,18.9,57,1.2,-,없음,0,보통,보통,보통,202305170000,맑음,44,2023-05-16 00:50
낙산공원·이화마을,여유,300,400,48.8,51.2,0.9,6.6,22.0,12.4,13.6,19.1,14.4,11.1,74.5,25.5,2023-05-16 00:20,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,20,2023-05-16 00:50
북촌한옥마을,여유,400,500,48.6,51.4,0.0,9.3,9.0,14.1,19.2,18.4,14.7,15.3,80.4,19.6,2023-05-16 00:20,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,20,2023-05-16 00:50
가로수길,여유,8500,9000,52.2,47.8,0.2,4.7,21.6,23.9,21.6,13.8,7.2,7.1,40.2,59.8,2023-05-16 00:20,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,28,2023-05-16 00:50
성수카페거리,여유,2000,2500,56.7,43.3,0.4,4.2,26.2,27.4,15.8,12.5,8.9,4.6,31.5,68.5,2023-05-16 00:20,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,20,2023-05-16 00:50
수유리 먹자골목,여유,8000,8500,51.0,49.0,0.1,5.4,29.6,15.6,14.6,15.3,10.9,8.4,52.0,48.0,2023-05-16 00:20,2023-05-16 00:51,18.9,19.6,62,0.6,-,없음,0,보통,보통,보통,202305170000,맑음,19,2023-05-16 00:50
쌍문동 맛집거리,여유,2000,2500,47.1,52.9,0.2,4.8,21.0,17.7,14.2,19.1,13.7,9.4,63.2,36.8,2023-05-16 00:20,2023-05-16 00:51,18.9,19.6,62,0.6,-,없음,0,보통,좋음,보통,202305170000,맑음,20,2023-05-16 00:50
압구정로데오거리,여유,6000,6500,54.3,45.7,0.3,4.1,22.7,26.3,20.0,14.2,7.0,5.4,31.7,68.3,2023-05-16 00:20,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,21,2023-05-16 00:50
여의도,여유,22000,24000,54.0,46.0,0.3,5.2,14.7,22.3,21.9,16.0,10.4,9.1,45.8,54.2,2023-05-16 00:20,2023-05-16 00:51,20.4,20.7,57,2.1,-,없음,0,보통,보통,보통,202305170000,맑음,32,2023-05-16 00:50
영등포 타임스퀘어,여유,4000,4500,56.8,43.2,0.0,3.3,34.9,26.3,13.0,11.7,7.0,3.8,32.7,67.3,2023-05-16 00:20,2023-05-16 00:51,20.4,20.7,57,2.1,-,없음,0,보통,보통,보통,202305170000,맑음,25,2023-05-16 00:50
인사동·익선동,여유,5000,5500,63.4,36.6,0.0,4.0,26.1,21.4,16.3,15.2,9.2,7.7,30.8,69.2,2023-05-16 00:20,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,21,2023-05-16 00:50
국립중앙박물관·용산가족공원,여유,300,400,48.0,52.0,0.8,8.2,14.2,19.1,20.1,20.4,13.1,4.0,45.4,54.6,2023-05-16 00:20,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,25,2023-05-16 00:50
남산공원,여유,6000,6500,49.6,50.4,0.3,7.2,21.3,18.8,19.9,16.4,9.9,6.1,52.1,47.9,2023-05-16 00:20,2023-05-16 00:51,19.5,20.3,64,2.8,-,없음,0,보통,보통,보통,202305170000,맑음,29,2023-05-16 00:50
뚝섬한강공원,여유,1500,2000,48.7,51.3,0.2,7.9,20.5,17.4,16.1,17.6,11.4,8.9,52.3,47.7,2023-05-16 00:20,2023-05-16 00:51,19.7,20.2,59,2.4,-,없음,0,보통,보통,보통,202305170000,맑음,41,2023-05-16 00:50
망원한강공원,여유,900,1000,53.2,46.8,0.3,6.2,20.3,20.7,18.0,14.5,11.6,8.5,52.6,47.4,2023-05-16 00:20,2023-05-16 00:51,20.4,20.7,57,2.1,-,없음,0,보통,보통,보통,202305170000,맑음,37,2023-05-16 00:50
반포한강공원,여유,1500,2000,54.9,45.1,0.0,8.0,28.2,18.6,20.4,13.4,7.8,3.6,9.4,90.6,2023-05-16 00:20,2023-05-16 00:51,19.2,20.2,67,0.8,-,없음,0,보통,보통,보통,202305170000,맑음,39,2023-05-16 00:50
북서울꿈의숲,여유,3500,4000,46.6,53.4,0.9,5.6,12.7,17.7,17.3,19.8,14.7,11.3,74.6,25.4,2023-05-16 00:20,2023-05-16 00:51,18.9,19.6,62,0.6,-,없음,0,보통,보통,보통,202305170000,맑음,24,2023-05-16 00:50
서울대공원,여유,600,700,48.8,51.2,0.5,7.6,15.0,16.0,19.2,18.9,15.2,7.7,68.1,31.9,2023-05-16 00:20,2023-05-16 00:51,17.9,18.9,67,1,-,없음,0,보통,보통,보통,202305170000,맑음,33,2023-05-16 00:50
